State_FIPS_Code,County_FIPS_Code,County_Name,State_Name,State_Abbr,Lat,Long,Population_Size,Population_Density,PopInPoverty,PercentPopInPoverty,White_Pop,PercentWhitePop,Black_Pop,PercentBlackPop,Native_American_Pop,PercentNative_AmericanPop,AsianPop,PercentAsianPop,HispanicPop,PercentHispanicPop,ObesityPop,PercentObesityPop
05,025,Cleveland,Arkansas,AR,34.0445,-91.9985,8903,15,1264.226,0.142,7629.871,0.857,1201.905,0.135,35.612,0.004,8.903,0.001,160.254,0.018,2386.004,0.268
05,027,Columbia,Arkansas,AR,33.3528,-93.0527,24695,32,5013.085,0.203,15384.985,0.623,9038.37,0.366,74.085,0.003,98.78,0.004,395.12,0.016,5877.41,0.238
05,029,Conway,Arkansas,AR,35.4215,-92.5544,20739,37,3421.935,0.165,17731.845,0.855,2592.375,0.125,103.695,0.005,103.695,0.005,497.736,0.024,5495.835,0.265
05,031,Craighead,Arkansas,AR,35.9115,-90.3224,86735,122,13790.865,0.159,76587.005,0.883,8413.295,0.097,346.94,0.004,607.145,0.007,2688.785,0.031,25239.885,0.291
05,033,Crawford,Arkansas,AR,35.6815,-94.0729,57630,97,8183.46,0.142,53826.42,0.934,633.93,0.011,1210.23,0.021,806.82,0.014,2650.98,0.046,12159.93,0.211
05,035,Crittenden,Arkansas,AR,35.4131,-90.1991,51882,85,11673.45,0.225,25525.944,0.492,25629.708,0.494,155.646,0.003,311.292,0.006,985.758,0.019,15564.6,0.3
05,037,Cross,Arkansas,AR,35.403,-90.5528,19237,31,3770.452,0.196,14523.935,0.755,4501.458,0.234,57.711,0.003,76.948,0.004,211.607,0.011,5809.574,0.302
05,039,Dallas,Arkansas,AR,34.1337,-92.4174,44366,45,11091.5,0.25,14374.584,0.324,29680.854,0.669,44.366,0.001,133.098,0.003,266.196,0.006,NA,NA
05,041,Desha,Arkansas,AR,34.0609,-91.0232,14358,19,3331.056,0.232,7480.518,0.521,6719.544,0.468,43.074,0.003,57.432,0.004,545.604,0.038,3948.45,0.275
05,043,Drew,Arkansas,AR,33.7741,-91.4518,18693,23,3439.512,0.184,13309.416,0.712,5140.575,0.275,37.386,0.002,93.465,0.005,486.018,0.026,4037.688,0.216
05,045,Faulkner,Arkansas,AR,35.3272,-92.124,97147,150,12434.816,0.128,85780.801,0.883,9034.671,0.093,485.735,0.005,777.176,0.008,2428.675,0.025,22926.692,0.236
05,047,Franklin,Arkansas,AR,35.6876,-93.7305,30737,48,5348.238,0.174,28923.517,0.941,1290.954,0.042,122.948,0.004,184.422,0.006,3288.859,0.107,8421.938,0.274
05,049,Fulton,Arkansas,AR,36.4924,-91.5413,11934,19,2171.988,0.182,11707.254,0.981,35.802,0.003,71.604,0.006,23.868,0.002,83.538,0.007,3293.784,0.276
05,051,Garland,Arkansas,AR,34.7012,-92.8106,93551,138,14968.16,0.16,83541.043,0.893,7390.529,0.079,654.857,0.007,561.306,0.006,3087.183,0.033,20861.873,0.223
05,053,Grant,Arkansas,AR,34.441,-92.3154,17348,27,1890.932,0.109,16619.384,0.958,537.788,0.031,86.74,0.005,34.696,0.002,294.916,0.017,5481.968,0.316
05,055,Greene,Arkansas,AR,36.2431,-90.3562,9661,15,2405.589,0.249,1922.539,0.199,7699.817,0.797,9.661,0.001,19.322,0.002,67.627,0.007,2849.995,0.295
05,057,Hempstead,Arkansas,AR,34.0034,-93.5341,23383,32,4442.77,0.19,16087.504,0.688,6804.453,0.291,93.532,0.004,116.915,0.005,2805.96,0.12,5705.452,0.244
05,059,Hot Spring,Arkansas,AR,34.4492,-92.7102,31264,51,4689.6,0.15,27481.056,0.879,3188.928,0.102,156.32,0.005,93.792,0.003,531.488,0.017,8785.184,0.281
05,061,Howard,Arkansas,AR,34.279,-93.8516,14552,25,2284.664,0.157,11321.456,0.778,3012.264,0.207,72.76,0.005,72.76,0.005,1280.576,0.088,3798.072,0.261
05,063,Independence,Arkansas,AR,35.8658,-91.3435,34737,45,5175.813,0.149,33173.835,0.955,729.477,0.021,138.948,0.004,347.37,0.01,868.425,0.025,9344.253,0.269
05,065,Izard,Arkansas,AR,36.2217,-91.7057,13430,23,2430.83,0.181,13000.24,0.968,201.45,0.015,107.44,0.008,26.86,0.002,147.73,0.011,3827.55,0.285
05,067,Jackson,Arkansas,AR,35.8244,-91.0755,53650,50,7779.25,0.145,49679.9,0.926,2038.7,0.038,858.4,0.016,160.95,0.003,858.4,0.016,16631.5,0.31
05,069,Jefferson,Arkansas,AR,34.4445,-91.7451,657229,591,94640.976,0.144,373306.072,0.568,270778.348,0.412,1314.458,0.002,7229.519,0.011,15116.267,0.023,180080.746,0.274
05,071,Johnson,Arkansas,AR,35.7309,-93.2418,24042,36,4111.182,0.171,23008.194,0.957,432.756,0.018,168.294,0.007,168.294,0.007,2235.906,0.093,4880.526,0.203
05,073,Lafayette,Arkansas,AR,33.3643,-93.4357,8027,15,1645.535,0.205,5065.037,0.631,2897.747,0.361,32.108,0.004,24.081,0.003,128.432,0.016,NA,NA
05,075,Lawrence,Arkansas,AR,36.2417,-90.8663,34605,50,4983.12,0.144,27510.975,0.795,4187.205,0.121,1868.67,0.054,34.605,0.001,484.47,0.014,9897.03,0.286
05,077,Lee,Arkansas,AR,34.8909,-90.5923,123254,202,18611.354,0.151,91331.214,0.741,28348.42,0.23,246.508,0.002,2218.572,0.018,1972.064,0.016,NA,NA
05,079,Lincoln,Arkansas,AR,34.079,-91.564,14262,25,3337.308,0.234,9427.182,0.661,4692.198,0.329,57.048,0.004,14.262,0.001,256.716,0.018,NA,NA
05,081,Little River,Arkansas,AR,33.8308,-94.0108,13227,25,2036.958,0.154,10052.52,0.76,2804.124,0.212,158.724,0.012,26.454,0.002,264.54,0.02,2923.167,0.221
05,083,Logan,Arkansas,AR,35.3827,-93.2988,22944,32,3762.816,0.164,21957.408,0.957,298.272,0.013,160.608,0.007,183.552,0.008,367.104,0.016,6768.48,0.295
05,085,Lonoke,Arkansas,AR,35.013,-91.7361,60658,79,6551.064,0.108,55502.07,0.915,3942.77,0.065,303.29,0.005,363.948,0.006,1395.134,0.023,14072.656,0.232
05,087,Madison,Arkansas,AR,36.2373,-93.5185,298192,370,32502.928,0.109,213803.664,0.717,70075.12,0.235,2385.536,0.008,6262.032,0.021,6560.224,0.022,66795.008,0.224
05,089,Marion,Arkansas,AR,36.4609,-92.571,30154,41,5065.872,0.168,28646.3,0.95,1176.006,0.039,90.462,0.003,60.308,0.002,452.31,0.015,6965.574,0.231
05,091,Miller,Arkansas,AR,33.4818,-93.7142,43162,69,7682.836,0.178,32155.69,0.745,10099.908,0.234,302.134,0.007,172.648,0.004,820.078,0.019,13380.22,0.31
05,093,Mississippi,Arkansas,AR,35.9644,-89.7412,47911,53,10684.153,0.223,30615.129,0.639,16337.651,0.341,143.733,0.003,191.644,0.004,1293.597,0.027,14037.923,0.293
05,095,Monroe,Arkansas,AR,34.9537,-91.104,23733,23,4200.741,0.177,13527.81,0.57,9730.53,0.41,237.33,0.01,71.199,0.003,189.864,0.008,NA,NA
05,097,Montgomery,Arkansas,AR,34.6932,-93.5177,221619,281,39891.42,0.18,99950.169,0.451,116349.975,0.525,443.238,0.002,2659.428,0.012,3102.666,0.014,31026.66,0.14
05,099,Nevada,Arkansas,AR,33.8056,-93.1009,9550,15,1843.15,0.193,6360.3,0.666,3122.85,0.327,38.2,0.004,9.55,0.001,210.1,0.022,NA,NA
05,101,Newton,Arkansas,AR,36.1011,-92.9546,8452,10,1681.948,0.199,8299.864,0.982,16.904,0.002,42.26,0.005,16.904,0.002,101.424,0.012,2467.984,0.292
05,103,Ouachita,Arkansas,AR,33.7321,-92.6187,27102,37,5040.972,0.186,15881.772,0.586,10895.004,0.402,54.204,0.002,108.408,0.004,298.122,0.011,7480.152,0.276
